artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Đàm Vĩnh Hưng,Xin Lỗi Tình Yêu,7g5uYihWZZ9cd0sd70pAPC,spotify:track:7g5uYihWZZ9cd0sd70pAPC,https://api.spotify.com/v1/tracks/7g5uYihWZZ9cd0sd70pAPC,https://api.spotify.com/v1/audio-analysis/7g5uYihWZZ9cd0sd70pAPC,0,0.611,0.629,9,-7.399,0,0.0276,0.57,1.75E-06,0.361,0.295,99.134,321019,3,0
RAP VIỆT and Yuno Bigboi,Dám Hay Không Dám (feat. Yuno Bigboi),3UsV7jk1VF7kUGCMmN18ts,spotify:track:3UsV7jk1VF7kUGCMmN18ts,https://api.spotify.com/v1/tracks/3UsV7jk1VF7kUGCMmN18ts,https://api.spotify.com/v1/audio-analysis/3UsV7jk1VF7kUGCMmN18ts,31,0.906,0.907,8,-2.915,1,0.212,0.286,0.00171,0.598,0.394,100.039,154453,4,0
Đen and Lynk Lee,Cô gái bàn bên,3pIlrW2AodAg75pnAoCNhl,spotify:track:3pIlrW2AodAg75pnAoCNhl,https://api.spotify.com/v1/tracks/3pIlrW2AodAg75pnAoCNhl,https://api.spotify.com/v1/audio-analysis/3pIlrW2AodAg75pnAoCNhl,44,0.683,0.541,10,-7.987,1,0.291,0.858,0,0.0888,0.423,120.135,198119,4,1
Doãn Hiếu and B Entertainment,Bao Lâu Ta Lại Yêu Một Người,2KPmisfkIZlWm1N4Ni4HpB,spotify:track:2KPmisfkIZlWm1N4Ni4HpB,https://api.spotify.com/v1/tracks/2KPmisfkIZlWm1N4Ni4HpB,https://api.spotify.com/v1/audio-analysis/2KPmisfkIZlWm1N4Ni4HpB,35,0.766,0.377,0,-8.483,1,0.0323,0.816,5.68E-05,0.136,0.415,101.981,230588,4,0
Suni Hạ Linh and Soobin Hoang Son,Một Ngày Rất Khác,67s6PE9F8WkRMWJdTsYuEG,spotify:track:67s6PE9F8WkRMWJdTsYuEG,https://api.spotify.com/v1/tracks/67s6PE9F8WkRMWJdTsYuEG,https://api.spotify.com/v1/audio-analysis/67s6PE9F8WkRMWJdTsYuEG,25,0.82,0.662,1,-6.688,1,0.0461,0.254,0,0.107,0.927,101.953,195940,4,0
Trang,Nếu Anh Cần Tôi,3pSsZeyISzQZiAUeHkXlQS,spotify:track:3pSsZeyISzQZiAUeHkXlQS,https://api.spotify.com/v1/tracks/3pSsZeyISzQZiAUeHkXlQS,https://api.spotify.com/v1/audio-analysis/3pSsZeyISzQZiAUeHkXlQS,0,0.511,0.314,0,-9.012,1,0.034,0.732,0.000301,0.12,0.33,120.008,276000,4,0
Sơn Tùng M-TP,Manh Ghep da Vo,5IT3Er11fnZI3h4fmsXwkF,spotify:track:5IT3Er11fnZI3h4fmsXwkF,https://api.spotify.com/v1/tracks/5IT3Er11fnZI3h4fmsXwkF,https://api.spotify.com/v1/audio-analysis/5IT3Er11fnZI3h4fmsXwkF,0,0.57,0.554,1,-6.021,1,0.0228,0.568,0,0.101,0.312,95.582,279838,4,0
Đen,hai triệu năm - Live At Show Của Đen,0ROEej67C7sB3bk6SnBiEE,spotify:track:0ROEej67C7sB3bk6SnBiEE,https://api.spotify.com/v1/tracks/0ROEej67C7sB3bk6SnBiEE,https://api.spotify.com/v1/audio-analysis/0ROEej67C7sB3bk6SnBiEE,40,0.704,0.68,9,-6.838,1,0.0531,0.531,0,0.32,0.336,101.971,298197,4,1
Tuấn Hưng,Hối Hận Trong Anh,1GcibaT8Lzv58xSydU1FgF,spotify:track:1GcibaT8Lzv58xSydU1FgF,https://api.spotify.com/v1/tracks/1GcibaT8Lzv58xSydU1FgF,https://api.spotify.com/v1/audio-analysis/1GcibaT8Lzv58xSydU1FgF,0,0.606,0.224,11,-15.014,0,0.0332,0.77,0,0.133,0.191,120.065,280085,4,0
Đen,Trời hôm nay nhiều mây cực!,703QXwWn5KdNaoviarYHAO,spotify:track:703QXwWn5KdNaoviarYHAO,https://api.spotify.com/v1/tracks/703QXwWn5KdNaoviarYHAO,https://api.spotify.com/v1/audio-analysis/703QXwWn5KdNaoviarYHAO,51,0.775,0.828,8,-5.351,0,0.178,0.683,0.000438,0.139,0.739,74.976,252600,4,1
